交易所,代码,公司,行业,PE,股息率,净利润率,毛利率,PB,ROE_TTM_2020,ROE_TTM_2019,ROE_TTM_2018,ROE_TTM_2017,ROE_TTM_2016,ROE_TTM_2015,净利润2020,净利润2019,净利润2018,净利润2017,净利润2016,每股收益2020TTM,每股收益2020,关注度
sz,="300104",乐视退,,-0.0638,0,-24.6671,0.2621,-0.0495,-1.2093,-2.2405,-2.7407,-0.0305,0.0662,0.0388,-11251390406,-3965785168,-14310078600,564811971.32,592383653.49,-2.8203,-2.8272,207
sz,="002220",天宝退,农牧渔产品,-0.108,0,-6.7685,-0.065,0.4793,-1.2932,-0.1209,0.0435,0.0703,0.074,0.0794,-1844868541,-314195706,118670005,182650762.76,158414128.2,-2.4069,-2.4857,50
sz,="002509",天茂退,,-0.1219,0,-3.346,0.203,0.3649,-1.0791,-0.1074,0.1261,0.0943,0.0472,0.1001,-2997973821,-530092299,608049622,410478754.59,134935590.58,-1.2309,-1.189,61
sz,="002604",龙力退,食品,-0.1843,0,-3.0461,0.1397,-0.0361,-0.2178,-1.589,-2.4496,0.0541,0.0259,0.0437,-813271273,-2883457411,-3535755837,138789434.56,50011096.32,-1.3564,-1.3544,49
sz,="000980",*ST众泰,汽车零配件与设备,-0.2268,0,15.1478,1.0595,0.3378,-0.9168,0.0442,0.1302,0.0422,0.0329,0.0151,-11713590307,764858696,1246006030,90063396.63,67928364.35,-5.7769,-5.5188,125
sz,="000662",*ST天夏,互联网软件与服务,-0.319,0,28.8288,0.6595,1.055,-1.4283,0.0214,0.1081,0.0824,-0.0012,0.0269,-5208267160,121868869,576613240,409408016.72,-2853599.2,-4.7647,-4.6412,138
sh,="600290",*ST华仪,电气部件与设备,-0.3789,0,-3.0429,0.2741,1.074,-1.1465,-0.0244,0.0154,-0.014,0.0144,0.0459,-2988290807,-105803414,62799133,-61986943.97,45126673.08,-3.9325,-3.8363,41
sz,="002356",*ST赫美,服装与配饰,-0.3958,0,-3.6651,0.4501,-0.3857,-1.6965,-2.1888,0.1169,0.0889,0.0829,0.0333,-1853713777,-1748042638,151490759,134511318.09,124698765.56,-3.5121,-3.5591,52
sz,="300216",千山退,专用设备,-0.4368,0,-4.8745,0.2699,-0.1283,-0.359,-4.1834,-0.4649,0.1642,0.0689,0.1448,-810973474,-2532230382,-424555851,209706424.24,62762838.67,-2.2438,-2.1717,54
sh,="600074",退市保千,,-0.4426,0,-5.633,0.2298,-0.0686,-0.1712,-0.4159,-10.3419,0.2564,0.3272,0.0526,-936276925,-1634291569,-8018731583,832109131.31,449787266.24,-0.3841,-0.3824,60
sh,="600122",*ST宏图,专营零售,-0.5154,0,-0.8646,-0.2615,0.7847,-0.642,-0.2825,0.0629,0.0573,0.0354,0.0647,-3146157292,-2270862486,599488430,496695940.39,333889405.12,-2.7163,-2.3611,70
sz,="002359",*ST北讯,通信设备,-0.5204,0,-35.0152,-10.4085,0.5894,-0.707,-0.2348,0.0923,-0.0655,0.0305,-0.0911,-2548715557,-1309206573,327202074,-60128081.3,28524660.48,-2.3443,-2.236,66
sh,="603157",*ST拉夏,服装与配饰,-0.5481,0,-0.4113,0.5594,1.4911,-1.1867,-0.0991,,,,,-2518221000,-323893000,542402000,,,-4.598,-3.9555,68
sz,="300064",豫金刚石,非金属材料与制品,-0.5681,0,-6.6685,0.2306,1.7998,-1.2191,0.0023,0.0404,0.0348,0.0669,0.0457,-5283324548,20693811,284374577,161770418.7,111249470.67,-4.3828,-4.3108,38
sh,="600687",*ST刚泰,服装与配饰,-0.5721,0,-3.6939,0.1194,1.4503,-1.1164,-0.2468,0.0938,0.073,0.1288,0.1986,-3434931204,-1365175849,549371536,397430852.52,456250674.46,-2.3073,-2.2667,58
sz,="002147",*ST新光,商业地产开发和管理,-0.5873,0,-3.3061,0.257,1.244,-0.984,-0.0272,0.189,0.3761,-0.015,-0.0066,-5260202122,-218253942,1266599574,1565653334.6,-5875751.84,-2.8775,-2.7814,67
sz,="002535",*ST林重,专用设备,-0.6424,0,-2.0085,0.034,1.7201,-1.1131,-0.0619,0.0203,0.0051,-0.1251,0.0118,-2009155452,-178911191,59411456,15410251.98,-323336632.98,-2.5062,-2.4839,48
sh,="600069",退市银鸽,纸类与林业产品,-0.6912,0,-0.3977,0.029,0.346,-0.4373,-0.0801,0.0271,-0.1975,0.0168,-0.6051,-657835660,-141095139,89590730,-384727347.6,55061536.12,-0.4051,-0.3932,47
sh,="600856",*ST中天,石油天然气,-0.7336,0,-4.9112,-0.1002,5.4509,-1.5432,-0.215,0.1409,0.2013,0.1817,0.0565,-3204281798,-1030241264,520658577,525055288.08,300960512.69,-2.3446,-2.2914,104
sh,="600242",*ST中昌,互联网软件与服务,-0.8014,0,-0.9393,0.068,2.1312,-1.1129,0.0679,0.0631,0.0448,1.0939,-2.7083,-1596969671,116111217,106957865,64861393.64,17031169.63,-3.5062,-3.4347,65
